compartment_yeast,day,yeast,average_weighted_mtype_diet1,average_weighted_mtype_diet2
Cecum,1,Aureobasidium_EXF,-8.96609348600954e-05,0.0003192117490338
Cecum,1,Clavispora_P2_GCA_009498075.1,0.000128724095938,0.00025641261676
Cecum,1,Penicillium_gca_002072345.ASM207234v1,0.0001324625294646,0.0001485382891195
Cecum,1,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,-8.126194583469987e-05,0.0003978657564814
Cecum,1,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,-0.0001640261132575,0.0003452813092663
Cecum,1,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,-0.0001021132000609,0.0002576951511135
Cecum,7,Aureobasidium_EXF,-0.0001271860869895,0.0009577082196738
Cecum,7,Clavispora_P2_GCA_009498075.1,0.0016446957832078,0.0008235706902219
Cecum,7,Penicillium_gca_002072345.ASM207234v1,0.0008302878708408,6.937675233048451e-05
Cecum,7,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,0.00072844632143,0.0008759321089615
Cecum,7,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,0.0006519167221276,0.0008707760795844
Cecum,7,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.0006318378302961,0.000865924570264
Cecum,21,Aureobasidium_EXF,8.524990793526377e-05,0.0002495242642609
Cecum,21,Clavispora_P2_GCA_009498075.1,0.0002774778769605,0.0002599518501258
Cecum,21,Penicillium_gca_002072345.ASM207234v1,-0.0001564540342392,0.0002231176269942
Cecum,21,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,0.0002401369291499,0.0002587618368003
Cecum,21,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,0.0002145014563876,0.0002410614183647
Cecum,21,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.0002242126488453,0.0002431548489735
Cecum,35,Aureobasidium_EXF,0.0002703387339127,0.0002972077661676
Cecum,35,Clavispora_P2_GCA_009498075.1,0.0002176056713101,0.0003152554805599
Cecum,35,Penicillium_gca_002072345.ASM207234v1,0.000231729872759,0.0003044584106182
Cecum,35,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,0.000151595964746,0.0002987516580891
Cecum,35,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,0.0005820367041871,0.000314351659726
Cecum,35,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.0002237692011388,0.0002846939632457
Duodenum,7,Aureobasidium_EXF,-0.0005865773476476,-0.001326519675652
Duodenum,7,Clavispora_P2_GCA_009498075.1,0.0010603588420985,-0.0007694238301923
Duodenum,7,Penicillium_gca_002072345.ASM207234v1,-0.0003745324091964,-0.0021385035226568
Duodenum,7,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,0.0009909883324674,-0.0021569070606251
Duodenum,7,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,0.0008810857223765,-0.0008477222858217
Duodenum,7,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.0006615703770662,-0.0015972733109241
Duodenum,21,Aureobasidium_EXF,-0.0002475782027699,4.642769964014547e-05
Duodenum,21,Clavispora_P2_GCA_009498075.1,0.000194441801347,1.2484937832288065e-05
Duodenum,21,Penicillium_gca_002072345.ASM207234v1,0.0002008922910611,-0.0003766767055379
Duodenum,21,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,5.407790684053676e-05,0.0001170767537426
Duodenum,21,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,-0.0001061868222062,-3.855137980982194e-05
Duodenum,21,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.0001862409696392,7.88924521228082e-05
Duodenum,35,Aureobasidium_EXF,-0.0002141074635195,-0.0002980279527222
Duodenum,35,Clavispora_P2_GCA_009498075.1,-0.0005716660390129,-0.0001946115040193
Duodenum,35,Penicillium_gca_002072345.ASM207234v1,-0.0006513883004747,-0.0006423822520645
Duodenum,35,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,2.400698752613202e-05,-0.0006411148417693
Duodenum,35,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,-0.0006024141851868,-0.0003180083006502
Duodenum,35,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,-0.0003629093029984,-0.000236228900309
Feces,1,Aureobasidium_EXF,0.0001320290834031,9.632316939809384e-05
Feces,1,Clavispora_P2_GCA_009498075.1,9.228340916436446e-05,9.798323118007109e-05
Feces,1,Penicillium_gca_002072345.ASM207234v1,0.0001137473669695,6.15578397514541e-05
Feces,1,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,3.077070284641783e-05,4.1149535241767264e-05
Feces,1,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,9.073826695388448e-05,0.0001204063705818
Feces,1,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,6.683553938332962e-05,2.623058192276209e-05
Feces,7,Aureobasidium_EXF,3.192199942594872e-05,-0.0001577150113047
Feces,7,Clavispora_P2_GCA_009498075.1,9.734966127569778e-05,-8.130623772725842e-05
Feces,7,Penicillium_gca_002072345.ASM207234v1,2.0052825294134648e-05,-0.0001468836991364
Feces,7,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,1.5490368983315747e-05,4.4376080222574125e-05
Feces,7,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,6.716359967523466e-05,-0.0001499884435394
Feces,7,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.0001108045721787,-0.0001523901846699
Feces,21,Aureobasidium_EXF,0.000111640046749,0.0001678628254101
Feces,21,Clavispora_P2_GCA_009498075.1,0.0005589687121506,-0.000249310902516
Feces,21,Penicillium_gca_002072345.ASM207234v1,0.000445691302458,-0.0002114544245447
Feces,21,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,0.0003717370630396,-0.0004742698638554
Feces,21,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,0.0005966859596587,-0.0001833243869654
Feces,21,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.0005089830640989,-3.691095941471256e-05
Feces,35,Aureobasidium_EXF,0.0004234617589146,0.0004588716825573
Feces,35,Clavispora_P2_GCA_009498075.1,0.0007684220344051,0.0001493507041714
Feces,35,Penicillium_gca_002072345.ASM207234v1,0.0009586454141557,0.0004670975814267
Feces,35,Saccharomyces_yjm1078_gca_000975645.Sc_YJM1078_v1,0.0007301108696712,0.0004833307596932
Feces,35,Saccharomyces_yjm1242_gca_000976845.Sc_YJM1242_v1,0.0006979663956965,0.000205841099243
Feces,35,Saccharomyces_yjm451_gca_000976005.Sc_YJM451_v1,0.0007078220091071,0.0002082593333458
